Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.500,2.381,4.030,1.435,3.957,2.186,2.380
1.000,2.611,4.401,2.848,4.388,2.869,4.091
1.500,3.829,5.487,2.476,3.738,2.110,3.655
2.000,4.221,6.438,3.078,2.944,2.379,4.481
2.500,3.276,5.535,3.079,3.178,2.485,3.821
3.000,2.461,4.315,2.285,2.779,1.491,3.034
3.500,2.659,4.642,3.216,2.945,2.566,4.345
4.000,2.905,3.894,2.401,2.540,2.088,3.176
4.500,1.536,2.797,1.692,1.506,1.455,2.116
5.000,3.149,5.992,2.847,3.690,2.315,5.074
5.500,5.314,8.770,4.298,5.862,3.097,7.081
6.000,4.403,8.038,4.207,4.224,3.372,4.952
6.500,5.758,9.140,4.957,7.900,3.954,7.762
7.000,8.101,10.617,4.908,8.549,4.135,8.611
7.500,7.823,10.820,5.210,8.841,4.762,8.295
8.000,5.598,8.106,4.234,8.263,4.486,7.346
8.500,7.952,12.401,5.632,10.819,4.780,10.193
9.000,6.834,10.960,4.875,7.753,3.920,7.576
9.500,7.446,11.528,5.267,8.184,4.448,7.866
10.000,7.974,12.446,5.546,8.183,3.773,8.493
10.500,6.542,9.481,4.134,6.865,3.288,6.449
11.000,6.750,9.504,4.917,7.906,3.468,7.112
11.500,7.270,10.352,5.046,7.355,3.980,6.871
12.000,6.130,8.992,5.705,5.966,4.119,4.717
12.500,6.702,9.419,4.762,5.342,3.200,5.437
13.000,5.030,6.974,4.172,3.788,3.018,4.228
13.500,5.934,7.612,4.858,4.032,3.058,5.024
14.000,6.453,7.975,4.586,4.879,3.273,5.162
14.500,6.997,9.162,5.481,6.164,4.322,6.922
15.000,8.128,10.465,6.037,5.084,3.606,6.833
15.500,7.265,8.461,5.292,4.230,3.305,6.178
16.000,7.379,9.557,5.526,6.074,3.875,6.758
16.500,7.194,8.526,4.974,3.935,2.621,5.589
17.000,5.926,7.902,4.040,4.480,2.885,4.023
17.500,7.219,9.239,5.430,4.553,2.811,6.741
18.000,8.247,11.518,6.314,8.230,4.359,8.588
18.500,6.222,7.346,5.819,5.067,3.359,6.622
19.000,8.218,10.214,5.648,7.491,4.066,8.767
19.500,6.258,8.270,4.043,3.830,2.796,5.148
20.000,7.071,8.661,5.763,4.354,3.035,4.981
20.500,7.242,8.305,5.624,3.896,2.971,4.927
21.000,6.540,8.370,5.809,5.891,2.636,5.641
21.500,7.283,10.053,6.433,4.254,2.169,4.756
22.000,7.921,10.487,6.439,7.165,3.872,6.960
22.500,13.037,14.597,9.479,7.992,4.021,10.609
23.000,9.056,11.139,6.360,6.316,3.277,7.390
23.500,9.029,11.077,6.577,7.214,3.915,8.545
24.000,11.116,14.738,7.964,8.416,4.674,11.255
24.500,11.986,14.969,7.683,8.308,4.073,10.608
25.000,10.181,12.837,7.363,9.264,5.154,10.187
25.500,12.253,16.818,9.670,9.320,5.325,11.801
26.000,10.298,13.909,8.287,8.862,4.808,10.693
26.500,12.675,16.953,8.559,10.306,5.365,12.223
27.000,12.284,16.248,8.579,9.549,4.198,11.874
27.500,13.890,18.784,9.122,11.276,4.986,12.785
28.000,14.919,20.007,10.389,12.342,4.497,14.354
28.500,13.535,18.513,9.080,12.837,5.281,13.895
29.000,15.029,20.134,10.149,13.908,5.703,15.351
29.500,11.636,16.514,8.960,14.190,6.419,14.635
30.000,10.327,15.953,8.280,12.816,6.208,13.531
30.500,10.535,15.478,9.117,13.343,6.453,14.238
31.000,14.234,19.589,9.203,15.169,6.577,16.291
31.500,12.602,18.484,9.982,15.170,7.349,15.749
32.000,12.451,19.378,9.746,16.052,8.216,16.886
32.500,11.124,18.049,10.563,16.336,8.482,17.113
33.000,11.708,18.738,10.764,17.951,10.888,17.360
33.500,11.927,18.928,9.837,17.247,9.467,17.464
34.000,11.433,18.519,10.136,15.792,8.375,16.714
34.500,11.628,18.850,10.020,16.029,8.292,16.897
35.000,11.563,18.123,9.827,16.116,8.312,16.818
35.500,13.439,20.585,9.180,15.462,7.201,17.200
36.000,13.754,20.560,9.953,15.961,7.183,17.243
36.500,13.064,19.541,9.482,16.721,8.210,17.570
37.000,13.885,19.151,9.161,18.007,8.749,18.095
37.500,12.547,19.355,9.532,17.598,8.756,18.006
38.000,13.875,19.804,9.647,15.793,6.931,16.820
38.500,12.078,18.257,9.194,15.617,7.129,16.384
39.000,13.465,19.429,9.543,15.621,6.920,16.507
39.500,12.207,17.684,8.594,16.459,8.005,16.105
40.000,12.876,20.087,9.535,20.168,10.597,18.889
40.500,11.427,17.868,9.370,17.437,8.749,16.662
41.000,11.542,17.851,9.731,18.208,9.124,16.971
41.500,12.806,19.507,9.336,20.423,10.429,18.708
42.000,14.680,21.307,10.189,21.190,11.232,20.174
42.500,14.935,21.979,9.603,22.147,12.608,20.157
43.000,15.727,23.126,10.076,22.730,12.501,21.167
43.500,13.941,20.359,9.523,19.649,9.772,18.468
44.000,15.047,20.351,9.151,17.684,8.074,17.034
44.500,14.342,19.518,8.844,18.276,8.671,16.533
45.000,15.368,21.035,9.645,18.648,9.552,17.333
45.500,13.387,19.590,8.472,16.184,8.370,15.953
46.000,15.144,20.998,9.544,17.589,7.887,16.846
46.500,13.886,19.703,9.611,17.691,7.974,17.279
47.000,14.601,20.875,9.385,18.399,9.441,17.483
47.500,13.395,19.181,8.320,15.681,7.905,15.622
48.000,15.804,21.747,8.663,16.716,8.155,16.348
48.500,15.767,21.198,8.984,14.505,7.136,15.232
49.000,15.549,22.524,8.904,19.761,10.234,18.003
49.500,15.851,21.436,9.609,16.134,8.652,17.088
50.000,15.073,20.830,8.039,18.111,9.901,17.465
50.500,13.404,20.254,8.705,18.946,10.172,17.445
51.000,12.797,19.585,9.521,18.966,10.258,17.682
51.500,14.363,20.560,9.587,17.655,9.673,17.243
52.000,13.084,20.644,9.308,17.336,9.257,16.694
52.500,14.205,21.773,8.615,16.837,9.242,16.876
53.000,13.446,21.719,8.485,16.325,9.900,16.492
53.500,11.695,19.541,8.732,16.271,10.218,15.338
54.000,12.160,20.479,8.947,16.136,9.000,16.472
54.500,14.839,22.802,7.965,15.052,9.502,15.600
55.000,15.426,21.281,8.653,16.003,9.657,15.900
55.500,15.536,23.772,9.046,16.877,10.203,17.596
56.000,14.965,21.285,9.118,15.394,8.750,16.057
56.500,14.889,21.123,8.483,14.996,8.740,15.400
57.000,14.468,20.292,8.471,15.495,8.531,15.405
57.500,14.176,21.582,8.518,14.795,7.198,15.766
58.000,12.868,20.363,8.641,15.734,8.450,15.769
58.500,14.629,21.914,8.747,15.720,7.731,16.119
59.000,11.955,20.315,7.845,15.240,8.329,14.741
59.500,13.493,21.316,8.705,12.312,6.286,14.138
60.000,13.097,20.169,8.584,13.975,7.813,13.601
60.500,13.281,19.381,9.566,13.540,6.209,14.570
61.000,13.361,19.927,9.338,15.420,8.132,15.862
61.500,15.160,19.987,9.728,16.373,8.401,15.842
62.000,15.173,18.598,9.816,14.509,6.840,15.315
62.500,16.757,19.562,9.132,16.639,8.913,15.460
63.000,16.655,22.077,9.531,16.765,9.065,16.075
63.500,18.026,20.319,9.568,15.127,7.855,15.164
64.000,16.160,17.904,9.151,15.114,8.868,14.738
64.500,15.515,19.574,8.556,16.085,8.300,14.874
65.000,15.991,16.760,9.237,15.772,8.184,14.962
65.500,16.339,18.274,9.387,16.147,8.894,15.235
66.000,17.003,18.537,9.952,18.584,9.122,17.643
66.500,16.319,17.886,8.990,18.113,9.444,17.371
67.000,17.119,19.406,9.585,16.367,8.191,16.297
67.500,16.181,17.191,9.120,15.824,8.838,15.261
68.000,16.212,17.435,8.876,17.870,9.153,16.967
68.500,15.658,17.366,8.481,15.311,8.175,15.126
69.000,15.926,18.309,9.327,17.325,8.837,17.336
69.500,15.098,17.546,9.087,17.192,8.649,16.720
70.000,16.683,16.539,9.419,16.591,8.286,16.914
70.500,15.850,17.123,9.445,17.490,9.781,17.888
71.000,16.221,17.120,9.844,18.923,9.359,18.598
71.500,16.396,16.920,9.547,17.733,8.829,17.047
72.000,14.875,15.614,8.898,16.872,8.936,16.298
72.500,14.426,17.469,8.382,17.733,9.484,16.273
73.000,16.191,19.733,8.890,19.258,9.971,17.811
73.500,15.641,21.068,9.242,19.702,10.364,17.760
74.000,15.576,18.330,9.253,16.413,8.251,16.732
74.500,16.324,19.568,9.455,18.074,9.771,18.326
75.000,17.013,20.207,9.109,18.179,9.748,17.997
75.500,15.827,21.383,9.980,18.385,9.896,18.369
76.000,15.440,20.371,8.647,17.468,9.213,16.504
76.500,16.096,18.775,9.069,17.495,9.407,17.565
77.000,16.604,19.858,9.476,16.377,7.315,17.393
77.500,14.975,21.240,8.676,15.578,8.167,16.473
78.000,15.913,20.762,9.512,15.767,7.957,17.437
78.500,17.311,19.236,10.333,15.606,7.341,17.420
79.000,16.103,16.466,9.480,17.102,8.278,16.744
79.500,15.028,18.003,9.607,16.290,7.427,16.695
80.000,16.447,19.332,9.656,15.821,7.998,17.049
80.500,17.233,20.514,10.800,17.445,7.390,19.037
81.000,15.675,20.086,10.282,15.825,7.104,17.898
81.500,17.496,21.089,10.148,18.528,9.610,19.185
82.000,18.241,22.434,11.329,17.685,8.349,19.322
82.500,17.937,22.673,10.396,16.811,7.413,18.929
83.000,16.791,20.025,10.327,18.014,7.316,18.579
83.500,16.206,20.491,9.408,18.098,8.458,18.169
84.000,17.632,16.823,10.008,17.437,7.293,18.086
84.500,17.151,18.285,10.657,17.661,7.240,18.588
85.000,15.972,15.793,10.513,16.708,6.436,17.051
85.500,14.348,16.919,9.843,19.817,9.633,18.150
86.000,15.446,19.047,9.843,21.673,11.547,19.789
86.500,15.357,18.244,10.519,20.215,9.457,18.466
87.000,14.261,14.672,10.809,21.513,11.742,18.880
87.500,14.896,16.476,10.345,19.965,10.084,18.825
88.000,16.842,17.194,10.331,19.410,9.708,18.363
88.500,14.901,14.899,9.774,18.148,8.612,16.500
89.000,13.947,13.566,9.675,17.453,8.771,15.720
89.500,14.381,16.414,10.104,18.359,8.946,17.628
90.000,12.109,15.220,10.293,19.740,9.570,18.248
90.500,11.029,13.762,10.982,18.628,10.027,17.167
91.000,11.876,14.938,12.471,19.808,10.844,18.680
91.500,11.635,14.467,12.391,19.156,11.003,17.473
92.000,11.391,13.085,11.804,18.280,10.103,16.672
92.500,11.923,13.973,11.496,17.427,10.653,16.376
93.000,10.234,11.813,10.428,14.132,8.629,13.132
93.500,9.213,10.088,9.460,12.523,9.163,10.516
94.000,6.701,8.659,7.114,7.698,4.571,6.035
94.500,7.004,9.481,8.003,9.710,5.506,8.431
95.000,9.309,14.112,8.682,8.424,4.665,8.740
95.500,9.342,12.024,9.119,9.426,7.074,8.449
96.000,11.476,15.225,9.545,9.652,9.573,9.514
96.500,15.319,15.456,10.674,9.720,9.800,10.042
97.000,15.615,16.664,12.710,12.085,11.915,10.296
97.500,21.297,20.993,17.301,13.673,10.798,14.321
98.000,18.390,17.130,14.883,13.778,10.329,12.688
98.500,16.644,16.987,14.262,11.916,9.678,11.641
99.000,22.020,23.832,17.880,11.811,8.267,14.938
99.500,22.653,23.657,17.464,12.340,7.908,14.644
100.000,20.233,21.896,16.734,12.858,9.266,15.077
100.500,23.979,25.862,19.770,12.473,9.072,16.052
101.000,18.353,19.234,16.597,13.270,10.523,14.311
101.500,17.464,19.157,16.165,11.755,9.972,12.329
102.000,20.315,21.187,16.621,11.175,9.138,12.978
102.500,19.064,20.317,15.765,12.529,9.482,12.998
103.000,18.109,19.937,15.374,12.252,9.415,12.300
103.500,15.647,17.818,14.105,10.909,8.693,11.361
104.000,18.188,17.561,14.456,13.828,10.419,12.593
104.500,16.644,17.307,14.077,12.969,10.604,12.129
105.000,17.895,19.617,16.240,12.907,10.015,13.285
105.500,19.763,19.796,15.768,11.660,9.380,12.137
106.000,17.667,17.920,14.444,12.544,9.469,12.141
106.500,21.850,22.261,17.390,15.433,10.937,15.578
107.000,16.177,18.201,14.787,12.500,8.837,12.452
107.500,16.788,17.748,14.748,12.750,9.706,11.714
108.000,16.811,18.894,15.133,14.494,9.989,13.393
108.500,15.770,18.621,14.447,12.547,8.940,11.362
109.000,15.244,17.404,14.341,13.088,9.888,12.124
109.500,16.406,18.600,15.581,12.097,9.167,11.677
110.000,16.419,18.594,15.287,13.385,10.514,12.999
110.500,14.913,18.965,14.624,10.659,9.796,9.350
111.000,18.518,20.573,15.491,11.917,9.136,11.884
111.500,19.949,21.994,17.196,11.340,9.581,11.898
112.000,19.258,21.292,16.346,11.965,9.779,12.605
112.500,15.205,18.923,15.430,10.019,8.735,10.069
113.000,15.992,18.162,14.716,8.937,8.040,10.571
113.500,12.660,15.371,11.807,7.756,6.895,7.838
114.000,15.259,18.009,13.099,8.005,6.222,8.330
114.500,16.380,17.878,14.568,7.527,6.452,7.830
115.000,15.811,18.612,14.904,7.305,6.633,8.552
115.500,15.001,17.474,13.911,6.641,5.715,8.487
116.000,14.531,16.058,12.729,5.756,5.866,6.337
116.500,10.523,13.978,11.750,5.073,6.707,5.613
117.000,12.814,16.594,13.686,8.055,7.259,8.191
117.500,16.116,19.388,14.427,8.554,7.303,9.664
118.000,15.936,19.600,14.753,7.959,8.048,9.040
118.500,15.780,17.339,15.005,6.032,7.226,6.827
119.000,12.051,15.657,12.634,6.388,7.361,6.902
119.500,10.834,16.012,13.574,7.386,7.501,7.346
120.000,11.077,13.955,12.417,6.446,7.288,6.534
120.500,7.356,13.032,11.463,6.537,7.478,6.914
121.000,10.088,13.312,12.879,7.032,7.847,7.464
121.500,13.176,16.040,14.543,7.463,7.457,8.081
122.000,13.787,16.211,15.015,7.303,7.094,8.623
122.500,11.321,14.014,13.965,5.611,6.695,6.481
123.000,10.565,13.778,13.774,6.928,7.057,6.866
123.500,12.415,14.712,14.122,7.053,7.219,7.565
124.000,10.653,14.189,13.011,6.160,6.501,6.958
124.500,11.897,13.758,14.093,6.505,7.046,7.064
125.000,12.908,15.719,14.380,6.910,6.953,8.111
125.500,12.486,15.940,13.929,5.967,6.702,6.925
126.000,15.294,17.223,15.185,7.113,7.330,7.921
126.500,15.433,17.135,15.056,6.963,8.005,7.276
127.000,11.383,15.569,13.530,7.622,7.428,8.299
127.500,10.984,13.230,13.305,6.438,6.886,7.196
128.000,10.998,14.093,13.193,5.807,7.005,6.189
128.500,10.809,13.317,14.349,6.972,8.094,7.475
129.000,11.098,14.695,14.124,6.997,7.776,6.985
129.500,13.911,17.213,15.242,7.829,7.510,8.239
130.000,12.260,15.468,14.040,8.433,8.070,8.083
130.500,9.445,15.764,12.593,7.172,7.117,8.360
131.000,12.339,15.982,12.620,6.113,5.968,6.865
131.500,8.821,13.166,13.038,7.310,7.647,7.181
132.000,14.293,16.950,14.695,5.445,6.831,6.609
132.500,17.714,19.428,15.562,8.982,7.428,10.039
133.000,12.041,15.980,13.750,6.502,7.308,7.429
133.500,11.905,14.552,13.047,6.424,6.915,8.008
134.000,10.431,12.785,12.622,6.427,7.318,7.530
134.500,12.028,14.216,13.104,5.981,6.795,7.668
135.000,13.294,16.188,14.369,8.744,7.624,9.616
135.500,10.680,13.305,12.713,5.937,6.896,7.247
136.000,9.859,13.571,12.290,7.945,7.609,8.289
136.500,8.074,12.148,11.556,7.407,8.117,7.962
137.000,9.811,12.350,12.747,6.065,7.054,6.764
137.500,13.757,14.985,14.776,7.678,7.302,7.825
138.000,10.525,13.131,12.381,7.015,7.696,7.640
138.500,9.938,11.743,11.962,6.317,6.949,7.181
139.000,12.859,15.370,13.362,6.953,7.431,6.897
139.500,15.640,16.545,14.604,7.283,7.069,7.754
140.000,14.966,15.990,14.136,9.272,8.239,9.607
140.500,12.852,14.632,12.617,6.705,6.747,7.619
141.000,14.419,16.183,13.989,8.461,7.525,8.384
141.500,15.475,17.046,14.420,8.288,7.610,8.544
142.000,15.043,16.460,14.535,7.693,7.240,8.138
142.500,16.343,17.910,14.989,9.927,8.731,9.593
143.000,14.460,16.513,14.649,8.989,7.684,9.464
143.500,12.700,14.414,13.221,8.104,8.022,7.600
144.000,12.272,14.067,13.403,7.523,8.509,7.481
144.500,12.969,14.922,14.073,8.148,8.322,7.811
145.000,11.751,13.798,13.835,8.653,8.083,8.470
145.500,11.746,13.969,13.714,7.614,7.756,7.791
146.000,9.697,12.076,12.247,7.457,8.452,7.719
146.500,10.707,12.886,13.526,7.872,8.167,7.523
147.000,8.726,11.529,11.883,6.461,7.151,7.081
147.500,9.417,12.310,12.450,7.554,8.451,7.681
148.000,10.642,13.132,12.726,7.054,7.410,7.806
148.500,9.244,12.608,11.855,7.606,7.578,7.925
149.000,9.629,12.767,12.383,7.407,7.683,6.998
149.500,10.888,13.666,12.700,7.563,7.808,8.088
150.000,7.988,11.590,11.988,6.290,7.940,7.122
